num,time,result,l1,l1x,l2,l2x,l3
15106,2015-09-12,02 11 13 22 30 02 03,149,"8,048","161,395",3,0
15105,2015-09-09,08 09 15 21 27 05 09,385,"11,597","186,944",8,4
15104,2015-09-07,16 19 25 30 34 04 09,94,"5,560","126,267",4,0
15103,2015-09-05,07 09 15 25 34 04 10,199,"8,903","164,645",4,1
15102,2015-09-02,11 14 15 33 34 03 12,99,"5,309","114,669",3,0
15101,2015-08-31,06 12 17 18 32 07 12,172,"7,631","132,610",2,1
15100,2015-08-29,09 15 18 23 32 05 07,286,"9,399","167,238",0,0
15099,2015-08-26,09 12 14 22 25 05 10,199,"7,965","136,869",1,0
15098,2015-08-24,09 14 21 27 33 06 09,481,"14,457","193,578",5,0
15097,2015-08-22,04 16 17 26 27 01 04,548,"16,348","227,421",11,4
15096,2015-08-19,03 09 12 18 21 02 06,332,"13,514","195,225",4,1
15095,2015-08-17,08 14 26 34 35 05 10,233,"11,187","184,402",2,0
15094,2015-08-15,02 03 10 11 29 03 07,219,"8,064","153,209",5,4
15093,2015-08-12,16 17 25 26 27 02 04,191,"10,899","198,424",3,0
15092,2015-08-10,02 14 21 27 34 05 08,182,"7,077","120,659",2,1
15091,2015-08-08,02 07 28 29 30 03 07,421,"15,126","232,760",12,8
15090,2015-08-05,06 09 11 17 21 06 08,232,"9,322","158,647",4,1
15089,2015-08-03,05 12 18 20 27 10 12,95,"5,903","122,594",0,0
15088,2015-08-01,05 15 28 31 34 11 12,108,"5,316","103,630",2,2
15087,2015-07-29,02 05 15 17 22 01 11,85,"5,248","106,279",2,2
15086,2015-07-27,05 09 11 15 32 04 09,175,"11,788","205,413",2,0
15085,2015-07-25,02 03 04 06 16 03 12,106,"5,020","100,628",1,0
15084,2015-07-22,10 20 21 32 34 06 07,307,"8,033","143,334",2,0
15083,2015-07-20,14 16 19 25 29 10 12,96,"5,286","113,274",1,0
15082,2015-07-18,08 15 28 31 33 03 06,446,"12,441","203,324",0,0
15081,2015-07-15,03 04 10 13 17 05 09,203,"7,754","150,389",3,0
15080,2015-07-13,14 20 29 30 32 03 08,802,"28,157","324,052",19,3
15079,2015-07-11,01 09 17 23 24 04 05,140,"6,139","123,087",2,2
15078,2015-07-08,19 24 26 28 33 01 02,91,"3,729","84,040",1,1
15077,2015-07-06,01 16 17 22 28 02 09,171,"9,471","154,289",3,0
15076,2015-07-04,03 19 21 31 34 05 12,187,"6,240","131,775",3,1
15075,2015-07-01,13 14 26 27 33 10 12,159,"5,546","108,032",1,0
15074,2015-06-29,01 12 21 27 33 04 09,156,"5,620","108,178",0,0
15073,2015-06-27,09 26 27 30 34 01 06,216,"9,126","164,578",4,1
15072,2015-06-24,19 20 21 31 33 09 10,747,"17,206","249,010",18,9
15071,2015-06-22,04 06 13 16 34 04 10,177,"7,505","148,354",2,0
15070,2015-06-20,03 09 12 17 18 04 12,194,"7,761","154,875",1,0
15069,2015-06-17,02 09 11 22 25 01 07,502,"13,942","213,115",7,1
15068,2015-06-15,02 03 20 31 35 04 08,106,"4,538","105,130",3,1
15067,2015-06-13,04 10 18 24 27 04 11,377,"9,810","179,501",7,1
15066,2015-06-10,01 03 07 13 29 02 10,91,"5,249","112,694",1,0
15065,2015-06-08,04 05 07 13 35 08 11,109,"6,512","147,136",2,1
15064,2015-06-06,02 08 20 28 31 07 10,399,"12,993","192,536",3,1
15063,2015-06-03,01 04 06 34 35 02 04,176,"5,540","113,629",0,0
15062,2015-06-01,06 07 13 14 15 01 04,131,"5,318","111,992",1,0
15061,2015-05-30,06 07 08 16 22 02 10,256,"9,786","195,379",5,1
15060,2015-05-27,16 24 25 26 33 04 11,347,"11,450","197,540",7,0
15059,2015-05-25,07 09 19 23 32 01 03,193,"7,065","144,718",1,1
15058,2015-05-23,10 14 20 27 30 07 12,189,"8,788","172,573",1,0
15057,2015-05-20,01 05 07 14 26 04 06,126,"9,453","182,344",0,0
15056,2015-05-18,06 12 19 26 35 03 10,188,"7,011","138,192",5,2
15055,2015-05-16,06 11 14 20 30 05 10,547,"18,641","273,506",9,2
15054,2015-05-13,02 09 15 24 34 03 09,212,"9,615","180,768",7,3
15053,2015-05-11,08 25 28 29 32 04 07,209,"9,816","172,294",3,1
15052,2015-05-09,13 19 24 27 29 07 08,190,"9,294","175,849",1,1
15051,2015-05-06,01 02 11 16 21 01 05,142,"8,769","164,381",2,0
15050,2015-05-04,06 07 10 20 28 02 07,227,"12,983","227,303",3,0
